image_id,age_group,age,person_id
77\nm0331577_rm599758848_1968-9-29_2002,2,34,nm0331577
64\nm0005064_rm3375798784_1978-1-5_2000,0,22,nm0005064
55\nm0004755_rm589732608_1978-5-12_2000,0,22,nm0004755
01\nm0000201_rm661051648_1958-4-29_2013,5,55,nm0000201
34\nm0000134_rm965260288_1943-8-17_2012,8,69,nm0000134
72\nm0416872_rm1101109248_1948-2-1_1997,4,49,nm0416872
90\nm0001290_rm1804914176_1957-5-5_1987,1,30,nm0001290
21\nm0203221_rm1546754560_1979-9-15_2003,0,24,nm0203221
71\nm0000671_rm1178970880_1955-8-4_2012,6,57,nm0000671
77\nm0005077_rm2564069376_1947-12-7_2005,6,58,nm0005077
46\nm0742146_rm1929680896_1972-7-11_2003,1,31,nm0742146
50\nm0000250_rm874682368_1969-4-25_2001,2,32,nm0000250
59\nm0000659_rm2159520768_1942-4-24_2012,8,70,nm0000659
28\nm1130728_rm1387322368_1982-7-6_2013,1,31,nm1130728
19\nm0000819_rm1046250752_1947-8-27_1978,1,31,nm0000819
14\nm0000614_rm3077746688_1946-2-21_2009,7,63,nm0000614
35\nm0532235_rm3459897088_1973-10-26_2014,3,41,nm0532235
45\nm0001845_rm3288963584_1961-7-15_2007,4,46,nm0001845
86\nm2395586_rm1559747328_1989-6-20_2013,0,24,nm2395586
02\nm0000102_rm2812456960_1958-7-8_2008,5,50,nm0000102
50\nm0151250_rm3249191680_1965-4-27_2002,2,37,nm0151250
28\nm1720028_rm1894219776_1986-4-22_2010,0,24,nm1720028
47\nm0147147_rm1083948800_1983-5-5_2011,1,28,nm0147147
70\nm1042970_rm3155148288_1969-2-28_2011,3,42,nm1042970
81\nm0329481_rm2045949440_1978-5-22_2011,2,33,nm0329481
23\nm0000323_rm562155008_1933-3-14_1975,3,42,nm0000323
76\nm0000576_rm297316352_1960-8-17_2008,4,48,nm0000576
99\nm1782299_rm3390622976_1989-6-3_2013,0,24,nm1782299
55\nm0593355_rm2710425088_1905-2-21_1971,7,66,nm0593355
97\nm1900397_rm1772286208_1975-3-18_2015,3,40,nm1900397
10\nm0679410_rm2170132992_1964-1-1_2000,2,36,nm0679410
71\nm3510471_rm4202344704_1986-6-27_2012,1,26,nm3510471
70\nm1316170_rm3637946112_1984-4-29_2013,1,29,nm1316170
35\nm0001435_rm1006296320_1963-7-30_1994,1,31,nm0001435
59\nm0171059_rm3389978368_1958-2-21_2015,6,57,nm0171059
57\nm1131557_rm923248896_1980-3-9_2005,0,25,nm1131557
96\nm0000196_rm1706202880_1963-5-25_2008,4,45,nm0000196
32\nm0001332_rm4003440128_1947-7-24_1980,2,33,nm0001332
77\nm0005377_rm3621236224_1968-11-5_2012,4,44,nm0005377
35\nm0004735_rm3441264640_1977-3-8_2009,2,32,nm0004735
05\nm0192505_rm1930606592_1985-11-30_2007,0,22,nm0192505
65\nm0480465_rm3490682880_1975-1-14_2004,1,29,nm0480465
32\nm0048932_rm2144896768_1969-7-30_2008,3,39,nm0048932
53\nm0004753_rm3965504000_1974-11-17_2014,3,40,nm0004753
15\nm0199215_rm2223551488_1975-6-19_2011,2,36,nm0199215
71\nm0274371_rm972143360_1967-2-20_2009,3,42,nm0274371
19\nm0908919_rm4232478976_1915-12-7_1966,5,51,nm0908919
88\nm0511088_rm2978721280_1973-9-14_2010,2,37,nm0511088
15\nm0000115_rm56210176_1964-1-7_1994,1,30,nm0000115
93\nm1299293_rm1845463808_1980-12-5_2009,1,29,nm1299293
05\nm0589505_rm486079744_1972-6-2_2014,3,42,nm0589505
29\nm0000529_rm726042880_1964-8-13_2005,3,41,nm0000529
84\nm1289484_rm654148864_1979-2-25_2011,2,32,nm1289484
52\nm0000152_rm2124393472_1949-8-31_2012,7,63,nm0000152
04\nm0000404_rm1497156608_1937-12-21_1979,3,42,nm0000404
75\nm0001475_rm1193774592_1945-10-19_1994,4,49,nm0001475
53\nm0005253_rm3224876032_1982-7-24_2007,0,25,nm0005253
36\nm0130536_rm3586820864_1971-6-4_2004,2,33,nm0130536
93\nm0001293_rm1731368704_1974-2-8_2008,2,34,nm0001293
77\nm0564277_rm2011726080_1961-9-23_2010,4,49,nm0564277
89\nm0748189_rm1032034560_1969-11-18_1998,1,29,nm0748189
08\nm1737008_rm1401915136_1975-10-27_2010,2,35,nm1737008
15\nm1622615_rm1526250240_1979-11-22_2010,1,31,nm1622615
46\nm0221046_rm4097165568_1980-1-17_2011,1,31,nm0221046
10\nm3620810_rm3566205952_1992-11-29_2013,0,21,nm3620810
81\nm0708381_rm1289258752_1975-8-31_2005,1,30,nm0708381
80\nm1643380_rm159354368_1965-8-18_2004,3,39,nm1643380
88\nm0167388_rm4008161536_1955-9-21_2011,6,56,nm0167388
15\nm1297015_rm689736448_1988-11-6_2009,0,21,nm1297015
41\nm0315041_rm3513157888_1961-6-25_2009,4,48,nm0315041
79\nm2603679_rm3014690048_1961-5-31_2008,4,47,nm2603679
31\nm0004831_rm3731921664_1950-2-6_2004,5,54,nm0004831
19\nm0001319_rm2303249152_1951-9-2_2003,5,52,nm0001319
36\nm0001836_rm2048495104_1961-3-4_1987,1,26,nm0001836
00\nm0500200_rm664897024_1982-4-10_2010,1,28,nm0500200
35\nm0072435_rm306944768_1977-1-8_2002,0,25,nm0072435
02\nm0000902_rm1075099648_1954-6-15_1988,2,34,nm0000902
06\nm0000706_rm2526006272_1962-8-6_1992,1,30,nm0000706
66\nm0362766_rm3258560768_1977-9-15_2012,2,35,nm0362766
15\nm0445715_rm3405230848_1945-1-28_1977,2,32,nm0445715
15\nm0000115_rm788634112_1964-1-7_2003,3,39,nm0000115
05\nm2244205_rm663599360_1985-7-1_2011,1,26,nm2244205
91\nm0005491_rm3687230976_1965-2-3_2009,4,44,nm0005491
64\nm1294664_rm2863449344_1994-8-27_2014,0,20,nm1294664
46\nm3405146_rm889050880_1978-4-28_2012,2,34,nm3405146
32\nm0005532_rm1528334592_1967-10-13_2007,3,40,nm0005532
38\nm0010338_rm3461776896_1973-5-16_2010,2,37,nm0010338
53\nm0683253_rm198155008_1979-1-27_2007,1,28,nm0683253
93\nm0000093_rm1580571136_1963-12-18_2004,3,41,nm0000093
32\nm2569832_rm2732782592_1983-12-15_2005,0,22,nm2569832
97\nm0524197_rm2991626240_1971-6-20_2007,2,36,nm0524197
42\nm0005542_rm2311493632_1965-2-23_1996,1,31,nm0005542
14\nm0000614_rm3170145280_1946-2-21_2009,7,63,nm0000614
62\nm0005562_rm463702528_1968-11-18_2008,3,40,nm0005562
19\nm0000119_rm1240770560_1967-1-2_2012,4,45,nm0000119
26\nm2159926_rm1680319232_1978-5-28_2011,2,33,nm2159926
82\nm0000182_rm946111744_1969-7-24_2002,2,33,nm0000182
74\nm0000174_rm2646903808_1959-12-31_2006,4,47,nm0000174
00\nm2003700_rm3730868992_1985-7-18_2007,0,22,nm2003700
25\nm0000125_rm3853312_1930-8-25_1974,4,44,nm0000125
38\nm0001638_rm3275667712_1941-6-10_1981,3,40,nm0001638
64\nm1065664_rm1277855488_1978-4-26_2009,1,31,nm1065664
69\nm0005169_rm1259969280_1979-4-4_2002,0,23,nm0005169
68\nm0642368_rm2292028416_1952-7-15_2004,5,52,nm0642368
12\nm3024712_rm2673191424_1985-5-9_2012,1,27,nm3024712
81\nm1003081_rm2778118144_1974-1-4_2002,1,28,nm1003081
34\nm1289434_rm3801019392_1983-2-23_2015,2,32,nm1289434
73\nm0001373_rm2881401600_1945-4-2_2009,7,64,nm0001373
44\nm0385644_rm1537513728_1965-9-21_2006,3,41,nm0385644
39\nm0001439_rm999665664_1959-1-31_1999,3,40,nm0001439
03\nm0005403_rm3190266624_1980-6-26_2007,1,27,nm0005403
66\nm1209966_rm1103478016_1980-3-9_2011,1,31,nm1209966
72\nm0004772_rm2906561024_1967-10-7_1995,1,28,nm0004772
38\nm0388038_rm523339776_1986-9-20_2008,0,22,nm0388038
19\nm0005519_rm3087070976_1980-1-30_2015,2,35,nm0005519
24\nm0000124_rm3922369280_1970-12-12_2005,2,35,nm0000124
89\nm0093589_rm2500710400_1977-10-11_2009,2,32,nm0093589
65\nm0000665_rm3163601408_1961-11-14_1997,2,36,nm0000665
52\nm0144252_rm2223299840_1932-7-31_1966,2,34,nm0144252
29\nm1065229_rm3786050816_1984-4-18_2006,0,22,nm1065229
30\nm0536630_rm262928128_1976-4-18_2011,2,35,nm0536630
50\nm0004950_rm796498432_1972-4-17_2006,2,34,nm0004950
80\nm0000480_rm3401171456_1961-3-11_2013,5,52,nm0000480
38\nm0000138_rm1477941760_1974-11-11_2006,2,32,nm0000138
13\nm0000313_rm1032291328_1949-12-4_2010,6,61,nm0000313
16\nm0194516_rm2047013632_1977-5-20_2009,2,32,nm0194516
25\nm3313925_rm2681337088_1987-2-1_2015,1,28,nm3313925
40\nm0000140_rm2220280832_1944-9-25_1989,4,45,nm0000140
06\nm0169806_rm848035072_1975-8-16_2014,3,39,nm0169806
16\nm2946516_rm430539776_1984-4-16_2011,1,27,nm2946516
36\nm0002536_rm2430452992_1986-9-12_2014,1,28,nm0002536
99\nm0000199_rm3167524864_1940-4-25_1983,3,43,nm0000199
51\nm0000151_rm3060576256_1937-6-1_2007,8,70,nm0000151
11\nm1004211_rm3901011968_1976-6-18_2010,2,34,nm1004211
99\nm0001099_rm2703396352_1955-2-19_1991,2,36,nm0001099
31\nm0000231_rm1238477312_1946-9-15_2012,7,66,nm0000231
76\nm0001376_rm1103477760_1953-3-16_2010,6,57,nm0001376
98\nm0000298_rm848411392_1946-5-9_2010,7,64,nm0000298
82\nm0001182_rm2973473536_1972-4-20_2003,1,31,nm0001182
80\nm0000380_rm2588115968_1931-1-5_1976,4,45,nm0000380
78\nm0004778_rm2202447104_1973-4-14_2013,3,40,nm0004778
75\nm0000375_rm2957506560_1965-4-4_2014,4,49,nm0000375
97\nm1261997_rm3866147328_1977-1-29_2001,0,24,nm1261997
51\nm0779451_rm1891276800_1961-12-11_2001,3,40,nm0779451
35\nm0000535_rm3899512320_1973-9-5_2014,3,41,nm0000535
44\nm0641244_rm2803472384_1965-7-9_1997,2,32,nm0641244
46\nm0898546_rm1094555648_1960-7-5_1998,3,38,nm0898546
92\nm0804592_rm298105600_1938-5-5_2010,8,72,nm0804592
59\nm0206359_rm2851319040_1976-2-9_2005,1,29,nm0206359
80\nm1519680_rm4162124800_1994-4-12_2015,0,21,nm1519680
04\nm0004904_rm1038531328_1969-9-7_2011,3,42,nm0004904
26\nm2240326_rm3206128640_1992-2-9_2013,0,21,nm2240326
17\nm0005017_rm2847863040_1978-12-18_2015,2,37,nm0005017
24\nm0000124_rm2961086720_1970-12-12_2003,2,33,nm0000124
92\nm0123092_rm158841088_1967-8-22_2009,3,42,nm0123092
27\nm0571727_rm10866176_1973-8-9_2005,2,32,nm0571727
05\nm0425005_rm3563043584_1972-5-2_2004,2,32,nm0425005
89\nm0004989_rm3838226944_1974-3-24_2005,1,31,nm0004989
05\nm0001605_rm810388992_1972-1-11_2010,3,38,nm0001605
20\nm0911320_rm3070400512_1964-11-14_2002,3,38,nm0911320
23\nm0000523_rm2219495680_1966-6-8_2009,3,43,nm0000523
01\nm0304801_rm464029440_1982-8-6_2009,1,27,nm0304801
26\nm0208426_rm871735296_1975-7-17_2013,3,38,nm0208426
36\nm0722636_rm3859778304_1944-5-5_2009,7,65,nm0722636
29\nm1065229_rm2492438528_1984-4-18_2005,0,21,nm1065229
84\nm0784884_rm1613411072_1946-7-27_2011,7,65,nm0784884
73\nm0507073_rm2692610560_1971-2-11_2014,3,43,nm0507073
43\nm0460843_rm220502016_1957-11-7_2005,4,48,nm0460843
41\nm0001141_rm597591296_1931-9-30_1980,4,49,nm0001141
15\nm1297015_rm3030887936_1988-11-6_2013,0,25,nm1297015
99\nm0000199_rm3456865792_1940-4-25_2007,7,67,nm0000199
00\nm2003700_rm2791749888_1985-7-18_2007,0,22,nm2003700
49\nm0578949_rm661953280_1974-3-5_2003,1,29,nm0578949
67\nm1569067_rm2828908032_1984-2-24_2011,1,27,nm1569067
98\nm0001598_rm3191864320_1958-11-5_2015,6,57,nm0001598
95\nm0004695_rm2652295424_1981-4-28_2014,2,33,nm0004695
72\nm0702572_rm1328521728_1979-5-22_2010,1,31,nm0702572
79\nm0005179_rm1315485696_1961-3-8_1997,2,36,nm0005179
49\nm0000949_rm454793728_1969-5-14_2006,2,37,nm0000949
37\nm0000837_rm417564928_1945-8-16_2009,7,64,nm0000837
95\nm0000495_rm1296145152_1966-2-25_1998,2,32,nm0000495
69\nm0005069_rm3922512384_1969-10-22_2014,4,45,nm0005069
28\nm0234928_rm3549600256_1971-8-23_2004,2,33,nm0234928
70\nm1581670_rm4035621888_1971-4-29_2012,3,41,nm1581670
35\nm0344435_rm118864896_1973-10-6_2011,3,38,nm0344435
49\nm0001349_rm3416038144_1979-2-21_2001,0,22,nm0001349
02\nm0491402_rm3928212736_1959-6-11_2015,6,56,nm0491402
04\nm0004904_rm3778976512_1969-9-7_2003,2,34,nm0004904
13\nm0277213_rm66238720_1971-3-27_2009,3,38,nm0277213
18\nm0004918_rm2234305792_1981-5-5_2014,2,33,nm0004918
95\nm0316795_rm2728829440_1953-10-23_2013,6,60,nm0316795
91\nm0428591_rm4222978816_1974-7-11_2005,1,31,nm0428591
00\nm0000200_rm3444414976_1955-5-17_1997,3,42,nm0000200
75\nm0004875_rm716741376_1971-1-2_2000,1,29,nm0004875
67\nm1706767_rm358152192_1983-12-20_2014,1,31,nm1706767
12\nm0700712_rm315528192_1970-2-17_2005,2,35,nm0700712
55\nm1944055_rm2188440576_1985-9-6_2015,1,30,nm1944055
20\nm0003620_rm466721536_1970-8-2_2007,2,37,nm0003620
82\nm0336782_rm3732318720_1940-9-12_2012,8,72,nm0336782
71\nm0000471_rm3640832_1940-3-9_1988,4,48,nm0000471
74\nm0001274_rm2351601408_1943-3-25_2005,7,62,nm0001274
27\nm0002127_rm2996147968_1964-1-23_2008,4,44,nm0002127
95\nm0004695_rm1362540544_1981-4-28_2007,1,26,nm0004695
37\nm0000237_rm857449472_1954-2-18_2013,6,59,nm0000237
85\nm0879085_rm3758790400_1978-12-30_2008,1,30,nm0879085
11\nm1696711_rm1011921664_1976-3-28_2011,2,35,nm1696711
35\nm0000235_rm250255360_1970-4-29_2001,1,31,nm0000235
66\nm0005166_rm4149842944_1946-12-23_2005,6,59,nm0005166
21\nm0319121_rm3928464128_1968-11-5_2004,2,36,nm0319121
19\nm2492819_rm2374419200_1987-4-18_2015,1,28,nm2492819
87\nm0813887_rm3891828736_1974-2-24_2008,2,34,nm0813887
28\nm1457728_rm1074108416_1968-1-12_2005,2,37,nm1457728
83\nm1269983_rm4214992640_1981-12-16_2012,1,31,nm1269983
02\nm0000702_rm2445723392_1976-3-22_2014,3,38,nm0000702
23\nm0907323_rm1303632384_1982-1-25_2012,1,30,nm0907323
64\nm1792864_rm377731072_1979-9-22_2007,1,28,nm1792864
24\nm0080524_rm1682418688_1975-12-12_2007,2,32,nm0080524
26\nm0154226_rm3833049344_1982-10-31_2011,1,29,nm0154226
69\nm0176869_rm957323776_1965-10-14_2005,3,40,nm0176869
81\nm0348181_rm3197813760_1970-8-5_2015,4,45,nm0348181
84\nm1086384_rm3761412608_1985-7-27_2005,0,20,nm1086384
34\nm0046134_rm3814300160_1970-11-28_2002,2,32,nm0046134
38\nm0001038_rm1727302656_1971-9-15_2009,3,38,nm0001038
80\nm0671980_rm3301224960_1977-4-23_2011,2,34,nm0671980
09\nm1298809_rm2681902336_1981-1-8_2005,0,24,nm1298809
37\nm2829737_rm612037120_1983-5-6_2015,2,32,nm2829737
51\nm1133651_rm4246503936_1980-5-27_2010,1,30,nm1133651
55\nm0420955_rm94027520_1947-5-4_2011,7,64,nm0420955
58\nm0479458_rm3354625792_1944-5-24_2010,7,66,nm0479458
38\nm0876138_rm2814495744_1971-3-16_2002,1,31,nm0876138
79\nm0278979_rm2143983616_1974-3-7_2007,2,33,nm0278979
29\nm0440229_rm2415507200_1979-5-5_2007,1,28,nm0440229
74\nm1388074_rm2890266368_1976-2-5_2014,3,38,nm1388074
39\nm0111639_rm2750280192_1979-11-23_2015,2,36,nm0111639
94\nm0000594_rm2323954176_1969-8-28_1990,0,21,nm0000594
57\nm0004857_rm1081204480_1956-3-1_2010,5,54,nm0004857
37\nm0001337_rm808883200_1978-11-24_2005,1,27,nm0001337
88\nm0035488_rm2465183488_1966-12-4_2012,4,46,nm0035488
78\nm0004978_rm2685835264_1976-7-10_2003,1,27,nm0004978
29\nm0000329_rm2255133440_1954-4-7_1999,4,45,nm0000329
28\nm0000228_rm1365285120_1959-7-26_2001,3,42,nm0000228
32\nm1754032_rm1354533120_1982-8-23_2005,0,23,nm1754032
54\nm0001154_rm504333312_1954-10-8_1987,2,33,nm0001154
95\nm0000195_rm1799532288_1950-9-21_2012,7,62,nm0000195
91\nm0001691_rm2775554304_1951-7-6_2006,5,55,nm0001691
97\nm0939697_rm2131662336_1987-9-7_2007,0,20,nm0939697
38\nm0000238_rm3930954496_1957-3-10_1999,3,42,nm0000238
39\nm0002139_rm140097792_1935-3-15_2011,9,76,nm0002139
42\nm0741242_rm1983492864_1972-9-6_2011,3,39,nm0741242
60\nm0000160_rm348294144_1970-11-6_2004,2,34,nm0000160
01\nm0000401_rm1199409408_1961-7-30_2000,3,39,nm0000401
98\nm0000098_rm2801895936_1969-2-11_2009,3,40,nm0000098
87\nm0913587_rm1038781952_1982-7-23_2009,1,27,nm0913587
41\nm0000741_rm1821285120_1953-6-13_2002,4,49,nm0000741
43\nm0000643_rm3244654592_1933-8-25_2008,9,75,nm0000643
13\nm1342513_rm1377548800_1977-5-27_2011,2,34,nm1342513
05\nm0000205_rm1781116928_1968-11-8_2009,3,41,nm0000205
21\nm0000421_rm1983548928_1968-1-2_1994,1,26,nm0000421
72\nm0005272_rm1480898560_1980-7-10_2006,1,26,nm0005272
69\nm0176869_rm2393026560_1965-10-14_2008,3,43,nm0176869
44\nm0005344_rm3506353152_1949-8-24_1988,3,39,nm0005344
36\nm0000136_rm1335276544_1963-6-9_2012,4,49,nm0000136
04\nm0955504_rm3166210560_1977-1-28_2006,1,29,nm0955504
45\nm2400045_rm538031872_1989-1-9_2009,0,20,nm2400045
08\nm0000008_rm2191825152_1924-4-3_1996,8,72,nm0000008
19\nm0185819_rm594673408_1968-3-2_2015,4,47,nm0185819
10\nm0005110_rm654154496_1978-2-7_2001,0,23,nm0005110
53\nm2679753_rm2849080320_1983-8-23_2010,1,27,nm2679753
04\nm0931404_rm745904640_1968-7-26_2002,2,34,nm0931404
38\nm0000238_rm4130380288_1957-3-10_2005,4,48,nm0000238
73\nm0000673_rm969080576_1964-12-4_2015,5,51,nm0000673
68\nm0001768_rm2466420736_1925-4-14_1965,3,40,nm0001768
29\nm0000629_rm1885641216_1970-8-25_2004,2,34,nm0000629
89\nm0001589_rm1533510656_1943-5-5_1975,2,32,nm0001589
12\nm0001612_rm457038848_1969-8-19_1994,0,25,nm0001612
80\nm0833780_rm1589479168_1975-1-16_2010,2,35,nm0833780
17\nm0089217_rm2510657536_1977-1-13_2005,1,28,nm0089217
38\nm0068338_rm2632309504_1980-7-18_2014,2,34,nm0068338
59\nm0001259_rm3588397056_1972-4-3_1998,1,26,nm0001259
59\nm0426059_rm4255754496_1973-12-17_2012,3,39,nm0426059
37\nm0001337_rm3442120960_1978-11-24_2008,1,30,nm0001337
26\nm0000226_rm3705587968_1968-9-25_1990,0,22,nm0000226
65\nm0347465_rm1669831424_1952-9-9_2005,5,53,nm0347465
26\nm0956526_rm2471004672_1985-9-16_2009,0,24,nm0956526
66\nm0925966_rm1513259520_1959-10-10_2010,5,51,nm0925966
46\nm2692146_rm1167165440_1983-10-24_2008,0,25,nm2692146
18\nm0000018_rm2993277184_1916-12-9_1994,9,78,nm0000018
93\nm0000293_rm1440395264_1959-4-17_2011,5,52,nm0000293
69\nm0000569_rm458135808_1972-9-27_2003,1,31,nm0000569
45\nm2400045_rm2221062144_1989-1-9_2009,0,20,nm2400045
05\nm0000505_rm2673399040_1970-10-30_2014,4,44,nm0000505
29\nm1065229_rm864850944_1984-4-18_2006,0,22,nm1065229
81\nm0263881_rm4071067136_1985-8-27_2009,0,24,nm0263881
62\nm0000162_rm1862240512_1969-5-25_2009,3,40,nm0000162
61\nm1377561_rm597221120_1982-11-14_2013,1,31,nm1377561
01\nm0336701_rm2717382400_1983-8-3_2015,2,32,nm0336701
83\nm0551883_rm3296369408_1973-2-12_2001,1,28,nm0551883
09\nm0788009_rm248822272_1949-11-29_1998,4,49,nm0788009
52\nm0000152_rm2352975616_1949-8-31_2009,6,60,nm0000152
37\nm0000437_rm3627915776_1961-7-23_1999,3,38,nm0000437
49\nm0001749_rm458863360_1934-12-28_1973,3,39,nm0001749
13\nm1442113_rm1863497728_1973-5-27_2006,2,33,nm1442113
51\nm0065751_rm308844032_1974-4-17_2004,1,30,nm0065751
59\nm1451059_rm2008658432_1966-11-8_2007,3,41,nm1451059
76\nm1517976_rm3650990080_1980-8-26_2004,0,24,nm1517976
45\nm0005445_rm2083750912_1972-3-9_1998,1,26,nm0005445
72\nm0001272_rm2117710592_1971-3-13_2011,3,40,nm0001272
24\nm0949424_rm2025490432_1976-10-4_2010,2,34,nm0949424
59\nm0334159_rm787842816_1989-9-5_2009,0,20,nm0334159
42\nm2466842_rm3389620736_1984-8-15_2010,1,26,nm2466842
77\nm1093577_rm1174467072_1976-5-16_2015,3,39,nm1093577
45\nm0006845_rm1801105152_1949-9-19_2012,7,63,nm0006845
57\nm0000457_rm1593088768_1940-1-22_2005,7,65,nm0000457
84\nm0001184_rm3394537728_1971-9-30_2009,3,38,nm0001184
80\nm1429380_rm1119981312_1990-4-18_2010,0,20,nm1429380
01\nm0000701_rm1606981888_1975-10-5_2006,1,31,nm0000701
66\nm0004266_rm3766520832_1982-11-12_2006,0,24,nm0004266
07\nm0752407_rm2086976256_1968-5-3_2011,3,43,nm0752407
84\nm0126284_rm3289171456_1979-7-24_2014,2,35,nm0126284
03\nm0001103_rm1558568704_1951-4-21_2013,7,62,nm0001103
37\nm0689237_rm199666688_1950-12-29_2010,6,60,nm0689237
45\nm0000245_rm2437912832_1951-7-21_2006,5,55,nm0000245
64\nm1065664_rm3268474880_1978-4-26_2009,1,31,nm1065664
77\nm0005177_rm547658496_1955-11-29_2006,5,51,nm0005177
44\nm0289344_rm2077725696_1958-9-6_2007,4,49,nm0289344
36\nm1745736_rm3737422848_1975-12-5_2006,1,31,nm1745736
71\nm0000571_rm4144207872_1964-8-2_2005,3,41,nm0000571
59\nm0301959_rm1648920832_1975-4-30_2009,2,34,nm0301959
78\nm0455078_rm1958199808_1954-9-14_2005,5,51,nm0455078
17\nm0000217_rm1585093376_1942-11-17_2002,6,60,nm0000217
17\nm0089217_rm3886389248_1977-1-13_2005,1,28,nm0089217
47\nm0001447_rm3421013248_1956-2-3_1996,3,40,nm0001447
21\nm0427521_rm2252708608_1976-9-3_2005,1,29,nm0427521
18\nm0000518_rm3936795136_1953-12-9_2002,4,49,nm0000518
41\nm0540441_rm4005213440_1984-11-21_2012,1,28,nm0540441
45\nm0000245_rm3391791360_1951-7-21_1978,1,27,nm0000245
30\nm0309430_rm2255145216_1967-5-4_1997,1,30,nm0309430
04\nm0000104_rm67088896_1960-8-10_2011,5,51,nm0000104
93\nm0155093_rm3909589760_1956-4-20_2001,4,45,nm0155093
91\nm0001191_rm3386087424_1966-9-9_1999,2,33,nm0001191
42\nm0310942_rm2238225152_1961-3-10_1998,2,37,nm0310942
70\nm0001770_rm2460393728_1963-11-27_2012,4,49,nm0001770
00\nm0547800_rm3637894656_1968-12-19_2013,4,45,nm0547800
46\nm0193846_rm2121108736_1982-11-30_2004,0,22,nm0193846
86\nm0000486_rm3846097920_1964-7-17_1984,0,20,nm0000486
26\nm0001426_rm110806016_1943-12-31_2014,8,71,nm0001426
60\nm0917060_rm3101672704_1978-9-3_2011,2,33,nm0917060
30\nm2851530_rm3292839936_1986-2-6_2014,1,28,nm2851530
36\nm0010736_rm2382399488_1974-8-20_2009,2,35,nm0010736
26\nm2159926_rm2085800960_1978-5-28_2014,2,36,nm2159926
11\nm0384211_rm2134221568_1975-5-3_2006,1,31,nm0384211
06\nm0000506_rm3715937792_1961-1-13_2012,5,51,nm0000506
86\nm1426686_rm3985422080_1978-2-16_2011,2,33,nm1426686
69\nm0257969_rm942712064_1975-9-22_2011,2,36,nm0257969
47\nm0197647_rm234413568_1978-5-1_2013,2,35,nm0197647
66\nm0637666_rm2006249728_1961-4-25_2015,5,54,nm0637666
84\nm0001584_rm3131604992_1967-12-16_2003,2,36,nm0001584
39\nm0582939_rm1417648640_1974-6-12_2006,2,32,nm0582939
63\nm0322563_rm3027417600_1960-3-11_2004,4,44,nm0322563
64\nm1065664_rm2534911744_1978-4-26_2009,1,31,nm1065664
98\nm0461498_rm3692625152_1981-9-4_2015,2,34,nm0461498
49\nm0000149_rm308517376_1962-11-19_2006,4,44,nm0000149
41\nm0000741_rm1258981120_1953-6-13_1999,4,46,nm0000741
18\nm0147118_rm3694302976_1936-11-19_2008,8,72,nm0147118
94\nm0000394_rm504137472_1964-2-15_1995,1,31,nm0000394
49\nm0000949_rm300783872_1969-5-14_2006,2,37,nm0000949
00\nm0936300_rm3357133056_1973-2-18_2014,3,41,nm0936300
96\nm0000096_rm1101630720_1968-8-9_2009,3,41,nm0000096
62\nm0000662_rm3088371456_1966-12-21_2014,4,48,nm0000662
69\nm0996669_rm1699610112_1972-3-13_2014,3,42,nm0996669
50\nm0167850_rm4102793472_1934-6-16_2012,9,78,nm0167850
02\nm0000102_rm3083589376_1958-7-8_2013,5,55,nm0000102
74\nm0000474_rm4112223744_1951-9-5_1986,2,35,nm0000474
03\nm0000103_rm2233571328_1974-5-21_2002,1,28,nm0000103
14\nm1569714_rm695634176_1979-10-31_2006,1,27,nm1569714
06\nm2009006_rm1001903360_1981-2-26_2013,2,32,nm2009006
65\nm0852965_rm3471353344_1969-9-4_2011,3,42,nm0852965
49\nm0582149_rm1753197312_1974-8-11_2012,3,38,nm0582149
46\nm3405146_rm1290978816_1978-4-28_2014,2,36,nm3405146
13\nm2955013_rm1877266176_1990-1-13_2014,0,24,nm2955013
61\nm0001661_rm1784851968_1947-3-6_1987,3,40,nm0001661
09\nm0279209_rm2014507264_1969-12-29_2011,3,42,nm0279209
13\nm0000213_rm2520681984_1971-10-29_2000,1,29,nm0000213
73\nm0272173_rm294361344_1958-8-22_2003,4,45,nm0272173
06\nm0000106_rm1271699712_1975-2-22_1995,0,20,nm0000106
51\nm0005251_rm1836895232_1967-8-21_2004,2,37,nm0005251
32\nm0000732_rm2554305280_1933-6-20_2006,8,73,nm0000732
88\nm0000388_rm137140224_1944-3-24_2006,7,62,nm0000388
12\nm0394012_rm2822606080_1965-5-6_2001,2,36,nm0394012
62\nm0000162_rm4156457728_1969-5-25_2009,3,40,nm0000162
73\nm0001073_rm4293713152_1964-6-15_1994,1,30,nm0001073
03\nm0001303_rm3446455552_1971-8-29_2009,3,38,nm0001303
66\nm3016166_rm3033911552_1986-5-20_2013,1,27,nm3016166
58\nm2680758_rm1855961856_1986-10-29_2010,0,24,nm2680758
95\nm0004695_rm1482332928_1981-4-28_2005,0,24,nm0004695
02\nm0120802_rm1140781568_1970-9-2_2014,4,44,nm0120802
70\nm0842770_rm2169480960_1960-11-5_2013,5,53,nm0842770
21\nm0001721_rm3425146880_1974-11-18_2006,2,32,nm0001721
06\nm0000606_rm457480704_1948-7-30_2002,5,54,nm0000606
22\nm0340522_rm2780273408_1957-12-29_2006,4,49,nm0340522
88\nm0004988_rm3096021760_1977-11-24_2008,1,31,nm0004988
78\nm0003078_rm1370486016_1969-10-19_2015,4,46,nm0003078
